,short_desc,interval,long_desc,category_dict,analysis_group_1
CPSIDP,"CPSID, person record",contin,"CPSIDP is an IPUMS CPS defined variable that uniquely identifies individuals across CPS samples. The first six digits of CPSIDP index the four-digit year and two-digit month that the household was first in the CPS. CPSIDP allows users to link a respondent appearing with a designated household roster line number (LINENO) across samples, based on the 4-8-4 rotation pattern, by assigning a unique CPSIDP value to this line number. CPSIDP will only ever appear for a maximum of 8 times, which is the number of times a household may be observed in the CPS survey (as indexed by MISH). In some cases, individuals will appear fewer than 8 times due to migration, mortality, non-response, and recording errors. Extensive documentation about the creation of CPSIDP is available elsewhere.

Users should note that it is important to verify CPSIDP linkages with AGE, SEX, and RACE. In some cases CPSIDP will result in erroneous links, which are due to errors in the source data. Cases with the same CPSIDP value may also have inconsistent responses across samples due to errors on the part of the respondent or in recording the response. Ultimately, it is up to the individual researcher to determine the acceptability of the linkages made using CPSIDP. 

CPSIDP may also be used to link ASEC respondents who are in the March Basic Monthly file to other months of CPS data. This linking is made possible by IPUMS through the creation of MARBASECIDP. 

To get started using CPSIDP, users may want to sort their data file by CPSIDP and MISH to create a person-time file. 

Users should take care when including the March Basic or ASEC as part of their linking. Respondents who are part of the ASEC oversample (as indicated by ASECOVERP) have a CPSIDP value of 0. For further information about the relationship between the March Basic and the ASEC, please see our additional documentation.",{},0
CPSIDV,Validated Longitudinal Identifier,contin,"CPSIDV is an IPUMS CPS-created variable that uniquely identifies individuals across CPS samples. In addition to linking records across the CPS 4-8-4 rotation pattern, CPSIDV only makes links between those records whose SEX and RACE values do not change and whose AGE values change in expected ways over time. 

CPSIDV is based on CPSIDP and so there are some structural similarities between them. The first six digits of CPSIDV are identical to CPSIDP - the four-digit year and two-digit month that the household was first in the CPS. Like CPSIDP, CPSIDV allows users to link a respondent appearing with a designated household roster line number (LINENO) across samples, based on the 4-8-4 rotation pattern. 

Only records that link using CPSIDP that also have consistent race and sex values and age values that increase at least one but not more than two years over the course of the 16-month CPS rotation are linkable using CPSIDV. As a result, linkage rates using CPSIDV are slightly lower than those achieved using CPSIDP. However, linkages created with CPSIDV do not require the recommended post-linking verification steps recommended for use with CPSIDP links. Users should note that original, unharmonized values of age, sex, and race are used in the creation of CPSIDV. The procedure and validation criteria for creating CPSIDV are described in detail in A Holistic Approach to Validating Current Population Survey Panel Data. 

CPSIDV may also be used to link ASEC respondents who are in the March Basic Monthly file to other months of CPS data. This linking is made possible by IPUMS through the creation of MARBASECIDP. 

To get started using CPSIDV, users may want to sort their data file by CPSIDV and MISH to create a person-time file. 

Users should take care when including the March Basic or ASEC as part of their linking. Respondents who are part of the ASEC oversample (as indicated by ASECOVERP) have a CPSIDV value of 0. For further information about the relationship between the March Basic and the ASEC, please see our additional documentation.",{},0
ASECWT,Annual Social and Economic Supplement Weight,contin,"ASECWT is a person-level weight that should be used in analyses of individual-level CPS supplement data. Since the CPS relies on a complex stratified sampling scheme, it is essential to use one of the provided weighting variables.

Researchers should use WTFINL rather than ASECWT when they wish to conduct person-level analyses of non-ASEC data. EARNWT should be used for any analysis including a small number of person-level variables (EARNWEEK, HOURWAGE, PAIDHOUR, and UNION). Researchers should use ASECWTH for household-level analyses. ASECWTCVD is available for the 2020 ASEC to adjust for nonrandom nonresponse resulting from the COVID-19 pandemic.

User Caution: For analyses that include the 2014 ASEC sample, please see the comparability tab.

The ASEC CPS files include two groups of people who are not included in the production of published labor force statistics: (1) members of the armed services, and (2) members of the Hispanic oversample who were interviewed in months other than March. WTFINL and EARNWT assign these groups a value of 0. Both groups are assigned non-zero values in ASECWT.

ASECWT is based on the inverse probability of selection into the sample and adjustments for the following factors: failure to obtain an interview; sampling within large sample units; the known distribution of the entire population according to age, sex, and race; over-sampling Hispanic persons; to give husbands and wives the same weight; and an additional step to provide consistency with labor force estimates from the basic survey. 

Estimates on the entire population are prepared by projecting forward the resident population from the last available census. These projections are derived by updating the demographic census data from a number of other data sources that account for death, births and net migration. About 3 years after every census (i.e. 2003 for the 2000 Census and 2013 for the 2010 Census), the Census Bureau updates its independent population control and provides a new weight for the relevant years.

Two important points should be noted here. First, the lag between when the Census is conducted and when the CPS weights are updated is about 3 years. While the Census data are being processed, the CPS files are made available using the weighting scheme from the US Census prior to the latest Census. Second, once the files are updated, the old weights become obsolete and are replaced in the IPUMS data extract system. Published estimates from the lag years that use the old weights are not always updated. For example, 2010 poverty estimates were released in ASEC using the 2000 population controls. Once the 2010 population controls were made available, IPUMS-CPS replaced the ASEC 2010, 2011, and 2012 weights that are based on the 2000 population control with weights that are based on the 2010 population controls. IPUMS-CPS makes available only the most up-to-date weights.",{},0
RELATE,Relationship to household head,discrete,"RELATE reports an individual's relationship to the head of household or householder.

CPS interviewers collected detailed information about the precise relationships of all persons in the household in their initial listing of household members.  Unfortunately, they then simplified the detailed data (e.g., daughter-in-law, lodger's brother) by coding it into a few broad categories (e.g., ""other relative of head,"" ""nonrelative of head with own relatives in household"") specified on the interview form.  Only the broad categories are preserved in the data.  The 4-digit codes for RELATE are consistent with the coding scheme used in IPUMS-USA census data.","{101: 'Head/householder', 201: 'Spouse', 202: 'Opposite sex spouse', 203: 'Same sex spouse', 301: 'Child', 303: 'Stepchild', 501: 'Parent', 701: 'Sibling', 901: 'Grandchild', 1001: 'Other relatives, n.s.', 1113: 'Partner/roommate', 1114: 'Unmarried partner', 1116: 'Opposite sex unmarried partner', 1117: 'Same sex unmarried partner', 1115: 'Housemate/roomate', 1241: 'Roomer/boarder/lodger', 1242: 'Foster children', 1260: 'Other nonrelatives', 9900: 'Relationship unknown', 9999: 'NIU'}",1
AGE,Age,discrete,Age gives each person's age at last birthday.,"{0: 'Under 1 year', 1: '1', 2: '2', 3: '3', 4: '4', 5: '5', 6: '6', 7: '7', 8: '8', 9: '9', 10: '10', 11: '11', 12: '12', 13: '13', 14: '14', 15: '15', 16: '16', 17: '17', 18: '18', 19: '19', 20: '20', 21: '21', 22: '22', 23: '23', 24: '24', 25: '25', 26: '26', 27: '27', 28: '28', 29: '29', 30: '30', 31: '31', 32: '32', 33: '33', 34: '34', 35: '35', 36: '36', 37: '37', 38: '38', 39: '39', 40: '40', 41: '41', 42: '42', 43: '43', 44: '44', 45: '45', 46: '46', 47: '47', 48: '48', 49: '49', 50: '50', 51: '51', 52: '52', 53: '53', 54: '54', 55: '55', 56: '56', 57: '57', 58: '58', 59: '59', 60: '60', 61: '61', 62: '62', 63: '63', 64: '64', 65: '65', 66: '66', 67: '67', 68: '68', 69: '69', 70: '70', 71: '71', 72: '72', 73: '73', 74: '74', 75: '75', 76: '76', 77: '77', 78: '78', 79: '79', 80: '80', 81: '81', 82: '82', 83: '83', 84: '84', 85: '85', 86: '86', 87: '87', 88: '88', 89: '89', 90: '90 (90+, 1988-2002)', 91: '91', 92: '92', 93: '93', 94: '94', 95: '95', 96: '96', 97: '97', 98: '98', 99: '99+'}",1
SEX,Sex,discrete,SEX gives each person's sex.,"{1: 'Male', 2: 'Female', 9: 'NIU'}",1
RACE,Race,discrete,"Racial categories in the CPS have been more consistent than racial categories in the census.  Up through 2002, the number of race categories ranged from 3 (white, negro, and other) to 5 (white, black, American Indian/Eskimo/Aleut, Asian or Pacific Islander, and other).   Beginning in 2003, respondents could report more than one race, and the number of codes rose to 21, and then up to 26 codes in 2013.","{100: 'White', 200: 'Black', 300: 'American Indian/Aleut/Eskimo', 650: 'Asian or Pacific Islander', 651: 'Asian only', 652: 'Hawaiian/Pacific Islander only', 700: 'Other (single) race, n.e.c.', 801: 'White-Black', 802: 'White-American Indian', 803: 'White-Asian', 804: 'White-Hawaiian/Pacific Islander', 805: 'Black-American Indian', 806: 'Black-Asian', 807: 'Black-Hawaiian/Pacific Islander', 808: 'American Indian-Asian', 809: 'Asian-Hawaiian/Pacific Islander', 810: 'White-Black-American Indian', 811: 'White-Black-Asian', 812: 'White-American Indian-Asian', 813: 'White-Asian-Hawaiian/Pacific Islander', 814: 'White-Black-American Indian-Asian', 815: 'American Indian-Hawaiian/Pacific Islander', 816: 'White-Black--Hawaiian/Pacific Islander', 817: 'White-American Indian-Hawaiian/Pacific Islander', 818: 'Black-American Indian-Asian', 819: 'White-American Indian-Asian-Hawaiian/Pacific Islander', 820: 'Two or three races, unspecified', 830: 'Four or five races, unspecified', 999: 'Blank'}",1
MARST,Marital status,discrete,"MARST gives each person's current marital status, including whether the spouse was currently living in the same household.","{1: 'Married, spouse present', 2: 'Married, spouse absent', 3: 'Separated', 4: 'Divorced', 5: 'Widowed', 6: 'Never married/single', 7: 'Widowed or Divorced', 9: 'NIU'}",1
POPSTAT,"Adult civilian, armed forces, or child",discrete,"POPSTAT reports the person's status in the population -- whether the person is an adult civilian, member of the U. S. armed forces, or a child.

The CPS is, in large part, a labor market survey, and is used to measure unemployment among the civilian labor force.  (The U.S. unemployment rate reported by the Bureau of Labor Statistics excludes members of the armed forces.)   Children (for ASEC samples under age 14 through 1979 and under age 15 beginning in 1980; for non-ASEC samples under 14 through February, 1989 and under 15 beginning March 1989) were not asked questions pertaining to economic activity.  Members of the armed forces were asked only a small number of questions relating to demographic facts, migration, and income during the previous calendar year.  POPSTAT provides a useful ""filter"" variable for excluding persons who had no responses for many of the survey questions.  If children and/or members of the armed forces were excluded from the universe of a particular question, they appear only in the ""not in universe"" category of a variable.","{1: 'Adult civilian', 2: 'Armed Forces', 3: 'Child'}",1
VETSTAT,Veteran status,discrete,"VETSTAT is a dichotomous variable identifying veterans, that is, persons who served in the military forces of the United States (Army, Navy, Air Force, Marine Corps, or Coast Guard) in time of war or peace, but who were not in the armed forces at the time of the survey.  

Information on the most recent period of service for veterans is given in the VETLAST variable.  Data are not available for 1966.  Beginning in 2006, veterans could report up to four periods of service.  While the most recent period of service is included in VETLAST variable (comparable over time), the four variables: VET1, VET2, VET3, and VET4 are also available for the four period of service for veterans.","{0: 'NIU', 1: 'No service', 2: 'Yes', 9: 'Unknown'}",1
FAMSIZE,Number of own family members in hh,discrete,"FAMSIZE counts the number of own family members residing with each individual, including the person her/himself. Persons not living with others related to them by blood, marriage, or adoption are coded 1.

Note that FAMSIZE is an IPUMS-derived variable using IPUMS-derived family interrelationships, which will not necessarily correspond to the Census Bureau's family definitions. See FTYPE, FAMKIND, and FAMREL for variables that correspond to Census family units. IPUMS does not currently offer a corresponding variable for the size of the Census family unit, but variables necessitating this information such as POVERTY already take the Census family unit size into account.

An Introduction to the Family Interrelationship Variables can be found on IPUMS-USA. On this page you'll find information on how IPUMS family interrelationship variables are constructed, common uses of these variables, and specific examples of how these variables can be used efficiently.","{0: 'Missing', 1: '1 family member present', 2: '2 family members present', 3: '3 family members present', 4: '4 family members present', 5: '5 family members present', 6: '6 family members present', 7: '7 family members present', 8: '8 family members present', 9: '9 family members present', 10: '10 family members present', 11: '11 family members present', 12: '12 family members present', 13: '13 family members present', 14: '14 family members present', 15: '15 family members present', 16: '16 family members present', 17: '17 family members present', 18: '18 family members present', 19: '19 family members present', 20: '20 family members present', 21: '21 family members present', 22: '22 family members present', 23: '23 family members present', 24: '24 family members present', 25: '25 family members present', 26: '26 family members present', 27: '27 family members present', 28: '28 family members present', 29: '29 family members present'}",1
NCHILD,Number of own children in household,discrete,"NCHILD counts the number of own children (of any age or marital status) residing with each individual. NCHILD includes step-children and adopted children as well as biological children. Persons with no children present are coded 0.

Note that NCHILD is an IPUMS-derived variable using IPUMS-derived family interrelationships. Thus NCHILD may differ from any family information that comes from just the Census family definitions. See for example FTYPE, FAMKIND, and FAMREL for more on Census family units.","{0: '0 children present', 1: '1 child present', 2: '2', 3: '3', 4: '4', 5: '5', 6: '6', 7: '7', 8: '8', 9: '9+'}",0
NCHLT5,Number of own children under age 5 in hh,discrete,"NCHLT5 counts the number of own children age 4 and under residing with each individual. NCHLT5 includes step-children and adopted children as well as biological children. Persons with no children under 5 present are coded 0.

Note that NCHLT5 is an IPUMS-derived variable using IPUMS-derived family interrelationships. Thus NCHLT5 may differ from any family information that comes from just the Census family definitions. See for example FTYPE, FAMKIND, and FAMREL for more on Census family units.","{0: 'No children under age 5', 1: '1 child under age 5', 2: '2', 3: '3', 4: '4', 5: '5', 6: '6', 7: '7', 8: '8', 9: '9+'}",1
FAMUNIT,Family unit membership,discrete,"FAMUNIT indicates to which family within the housing unit each person belongs. If there is only one group of related individuals, all members of the household will be coded 1; if there is a second, separate such group, all members of that family group will be coded 2, and so on. All persons with a RELATE code less than 1100 are included in FAMUNIT 1.  All persons with a RELATE code of at least 1100 receive a FAMUNIT code of 2 or greater unless they are linked via birth, marriage, or adoption to someone with a RELATE code of less than 1100.  This means that some households contain no persons with a FAMUNIT code of 1: for example, household fragments (identified via FRAGMNT) receive a FAMUNIT code of 2.

The Census Bureau defines ""primary families"" as groups of persons related to the head of household, and ""primary individuals"" as household heads/householders residing without kin. In the IPUMS, primary families and primary individuals are identified in FAMUNIT with a code of 1; each secondary family or secondary individual receives a higher code. 

Note that FAMUNIT is an IPUMS-derived variable using IPUMS-derived family interrelationships, and does not directly correspond to the Census Bureau's enumeration of families within households. See FTYPE, FAMKIND, and FAMREL for variables that correspond to Census family units. FAMUNIT is also not analogous to the Census Bureau's concept of ""related subfamily."" People in ""related subfamilies"" as defined by the Census Bureau are necessarily related to the householder, and they will be included in FAMUNIT 1. 

An Introduction to the Family Interrelationship Variables can be found on IPUMS-USA. On this page you'll find information on how family interrelationship variables are constructed, common uses of these variables, and specific examples of how these variables can be used efficiently.","{1: '1st family in household or group quarters', 2: '2nd family in household or group quarters', 3: '3rd', 4: '4th', 5: '5th', 6: '6th', 7: '7th', 8: '8th', 9: '9th', 10: '10', 11: '11', 12: '12', 13: '13', 14: '14', 15: '15', 16: '16', 17: '17', 18: '18', 19: '19', 20: '20', 21: '21', 22: '22', 23: '23', 24: '24', 25: '25', 26: '26', 27: '27', 28: '28', 29: '29'}",0
ELDCH,Age of eldest own child in household,discrete,"ELDCH reports the age of the eldest own child (if any) residing with each individual, regardless of the child's age or marital status. ELDCH includes step-children and adopted children as well as biological children. The highest legitimate age for ELDCH is 98. Persons with no children present are considered ""Not in Universe,"" and are coded 99.

Note that ELDCH is an IPUMS-derived variable using IPUMS-derived family interrelationships. Thus ELDCH may differ from any family information that comes from just the Census family definitions. See for example FTYPE, FAMKIND, and FAMREL for more on Census family units.","{0: 'Less than 1 year old', 1: '1', 2: '2', 3: '3', 4: '4', 5: '5', 6: '6', 7: '7', 8: '8', 9: '9', 10: '10', 11: '11', 12: '12', 13: '13', 14: '14', 15: '15', 16: '16', 17: '17', 18: '18', 19: '19', 20: '20', 21: '21', 22: '22', 23: '23', 24: '24', 25: '25', 26: '26', 27: '27', 28: '28', 29: '29', 30: '30', 31: '31', 32: '32', 33: '33', 34: '34', 35: '35', 36: '36', 37: '37', 38: '38', 39: '39', 40: '40', 41: '41', 42: '42', 43: '43', 44: '44', 45: '45', 46: '46', 47: '47', 48: '48', 49: '49', 50: '50', 51: '51', 52: '52', 53: '53', 54: '54', 55: '55', 56: '56', 57: '57', 58: '58', 59: '59', 60: '60', 61: '61', 62: '62', 63: '63', 64: '64', 65: '65', 66: '66', 67: '67', 68: '68', 69: '69', 70: '70', 71: '71', 72: '72', 73: '73', 74: '74', 75: '75', 76: '76', 77: '77', 78: '78', 79: '79', 80: '80', 81: '81', 82: '82', 83: '83', 84: '84', 85: '85', 86: '86', 87: '87', 88: '88', 89: '89', 90: '90', 91: '91', 92: '92', 93: '93', 94: '94', 95: '95', 96: '96', 97: '97', 98: '98', 99: 'NIU'}",0
YNGCH,Age of youngest own child in household,discrete,"YNGCH reports the age of the youngest own child (if any) residing with each individual, regardless of the child's age or marital status. The highest legitimate age for YNGCH is 98. YNGCH includes step-children and adopted children as well as biological children. Persons with no own children present are coded 99.

Note that YNGCH is an IPUMS-derived variable using IPUMS-derived family interrelationships. Thus YNGCH may differ from any family information that comes from just the Census family definitions. See for example FTYPE, FAMKIND, and FAMREL for more on Census family units.","{0: 'Less than 1 year old', 1: '1', 2: '2', 3: '3', 4: '4', 5: '5', 6: '6', 7: '7', 8: '8', 9: '9', 10: '10', 11: '11', 12: '12', 13: '13', 14: '14', 15: '15', 16: '16', 17: '17', 18: '18', 19: '19', 20: '20', 21: '21', 22: '22', 23: '23', 24: '24', 25: '25', 26: '26', 27: '27', 28: '28', 29: '29', 30: '30', 31: '31', 32: '32', 33: '33', 34: '34', 35: '35', 36: '36', 37: '37', 38: '38', 39: '39', 40: '40', 41: '41', 42: '42', 43: '43', 44: '44', 45: '45', 46: '46', 47: '47', 48: '48', 49: '49', 50: '50', 51: '51', 52: '52', 53: '53', 54: '54', 55: '55', 56: '56', 57: '57', 58: '58', 59: '59', 60: '60', 61: '61', 62: '62', 63: '63', 64: '64', 65: '65', 66: '66', 67: '67', 68: '68', 69: '69', 70: '70', 71: '71', 72: '72', 73: '73', 74: '74', 75: '75', 76: '76', 77: '77', 78: '78', 79: '79', 80: '80', 81: '81', 82: '82', 83: '83', 84: '84', 85: '85', 86: '86', 87: '87', 88: '88', 89: '89', 90: '90', 91: '91', 92: '92', 93: '93', 94: '94', 95: '95', 96: '96', 97: '97', 98: '98', 99: 'NIU'}",0
NSIBS,Number of own siblings in household,discrete,"NSIBS counts the number of own siblings (including half-siblings, step-siblings, and adopted siblings) residing with each individual. Persons with no siblings present are coded 0.

Note that NSIBS is an IPUMS-derived variable using IPUMS-derived family interrelationships. Thus NSIBS may differ from any family information that comes from just the Census family definitions. See for example FTYPE, FAMKIND, and FAMREL for more on Census family units.","{0: '0 Siblings', 1: '1 Sibling', 2: '2 Siblings', 3: '3 Siblings', 4: '4 Siblings', 5: '5 Siblings', 6: '6 Siblings', 7: '7 Siblings', 8: '8 Siblings', 9: '9 or more Siblings'}",1
ASPOUSE,Spouse line number (self-reported),contin,"ASPOUSE is a variable that indicates whether the person's spouse lived in the same household and, if so, gives the line number (LINENO) of the spouse. ASPOUSE makes it easy for researchers to link the characteristics of spouses. 

Beginning in 2007, CPS respondents have also been asked to identify cohabiting partners, mothers, and fathers. Respondents also identified cohabiting partners (PECOHAB), mothers (PELNMOM), and fathers (PELNDAD).  These variables are reported as is and may need additional cleaning by researchers.

ASPOUSE is similar to the IPUMS-CPS constructed variable SPLOC which identifies probable spouses on the basis of marital status, relationship to household head, age, and additional demographic characteristics. SPLOC is available in all years and in most instances, SPLOC and ASPOUSE will identify the same spouse. Disagreements may occur in ambiguous situations or as a result of reporting errors. Note that SPLOC references the spouse's person number (PERNUM), while ASPOUSE provides the line number (LINENO).

An Introduction to the Family Interrelationship Variables can be found on IPUMS-USA. On this page you'll find specific examples of how pointer variables, like ASPOUSE, can be used efficiently. The Census Bureau working paper ""Improvements to Demographic Household Data in the Current Population Survey: 2007"" may also be useful.",{},0
PECOHAB,Cohabiting partner line number (self-reported),contin,"PECOHAB is a variable that indicates whether the person's cohabiting partner lived in the same household and, if so, gives the line number (LINENO) of the partner. PECOHAB makes it easy for researchers to link the characteristics of cohabiting partners. 

Since 2007, unmarried respondents in households with unrelated adults have been asked: ""Do you have a boyfriend, girlfriend or partner in this household?"" If they responded yes, the respondent was then asked to identify the cohabiting partner and the interviewer recorded the partner's line number. The same question was posed about all other unmarried adults in the household except persons identified as the unmarried partner of the household head. PECOHAB provides the line number of cohabitors identified through this direct question on cohabitation and of persons identified as the unmarried partner of the household head. PECOHAB is reported as is and may require additional cleaning by researchers. 

In the years 1995-2006, researchers can identify most cohabitors using the unmarried partner category in the relationship to household head variable (RELATE). About 80 percent of cohabiting couples can be identified through this method.

In addition to cohabiting partners, respondents also identified spouses, (ASPOUSE), mothers (PELNMOM), and fathers (PELNDAD).

An Introduction to the Family Interrelationship Variables can be found on IPUMS-USA. On this page you'll find specific examples of how pointer variables, like PECOHAB, can be used efficiently. The Census Bureau working paper ""Improvements to Demographic Household Data in the Current Population Survey: 2007"" may also be useful.",{},1
FTYPE,Family Type,discrete,"FTYPE reports the Census family type of each person in a household. Note that the Census family is not necessarily the same as the IPUMS-derived family as give in FAMUNIT. The Census family is a group of two people or more (one of whom is the householder) related by birth, marriage, or adoption and residing together; all such people (including related subfamily members) are considered as members of one family. Any family level variable depends directly on this variable in that all members of each CPS-identified family unit are assigned the same value for any given family level variable. The Census Bureau poverty statistics are developed with the family interrelationships defined by FTYPE. 

Recall that a household includes the related family members and all the unrelated people, if any, such as lodgers, foster children, wards, or employees who share the housing unit. A person living alone in a housing unit, or a group of unrelated people sharing a housing unit such as partners or roomers, is also counted as a household. For more on the Census family definitions, see below as well as the description for FAMREL.

A family household is a household maintained by a householder who is in a family (as defined above), and includes any unrelated people (unrelated subfamily members and/or secondary individuals) who may be residing there. The number of family households is equal to the number of families. The count of family household members differs from the count of family members, however, in that the family household members include all people living in the household, whereas family members include only the householder and his/her relatives.

A primary family consists of a married couple with or without children, or one parent with one or more own never married children under 18 years old, who maintain the household.

A nonfamily householder consists of a householder living alone (a one-person household) or where the householder shares the home exclusively with people to whom he/she is not related. 

A subfamily is a married couple with or without children, or a single parent with one or more own never-married children under 18 years old. A subfamily does not maintain their own household, but lives in the home of someone else.

A related subfamily is a married couple with or without children, or one parent with one or more own never married children under 18 years old, living in a household and related to, but not including, the person or couple who maintains the household. One example of a related subfamily is a young married couple sharing the home of the husbands or wife's parents. The number of related subfamilies is not included in the count of families.

An unrelated subfamily (formerly called a secondary family) is a married couple with or without children, or a single parent with one or more own never-married children under 18 years old living in a household. Unrelated subfamily members are not related to the householder. An unrelated subfamily may include people such as guests, partners, roommates, or resident employees and their spouses and/or children. The number of unrelated subfamily members is included in the total number of household members, but is not included in the count of family members.

Secondary individuals (formerly called unrelated individuals) are people of any age who reside in a household, but are not related to the householder (except unrelated subfamily members). People who reside in group quarters are also secondary individuals. Examples of a secondary individual include (1) a guest, partner, roommate, or resident employee; (2) a foster child; or (3) a person residing in a rooming house, a halfway house, staff quarters at a hospital, or other type of group quarters.

For more information, see the Census Bureau's page on CPS definitions.","{1: 'Primary family', 2: 'Nonfamily householder', 3: 'Related subfamily', 4: 'Unrelated subfamily', 5: 'Secondary individual', 9: 'Missing'}",0
FAMREL,Relationship to family,discrete,"FAMREL states the person's relationship to their Census-defined subfamily unit. The Census subfamily type is identified in FTYPE. Values of Census family-level variables such as FTOTVAL are valid for the respective subfamily unit.

Note that IPUMS and the Census Bureau define subfamilies differently. Subfamilies in IPUMS CPS can be identified using the variables MOMLOC, POPLOC and SPLOC. Any subfamilies identified using these variables are not necessarily the same as any Census subfamilies. The IPUMS-defined variable FAMUNIT identifies families according to IPUMS rules (not Census rules), but does not identify (related) subfamilies. FAMREL and FTYPE refer to Census-defined subfamilies. See here for a description of IPUMS subfamilies and their relation to Census subfamilies. IPUMS CPS does not currently offer IPUMS subfamily identifiers such as IPUMS USA's SUBFAM. Below is a brief description of the Census family/subfamily concept as it concerns FAMREL.

Each CPS household has one person designated as the householder, who is the person in whose name the housing unit is rented or own. The CPS splits households into family, subfamily, and individual units. The primary family is the householder and everyone related to the householder. For the purposes of FAMREL and FTYPE, and following some CPS documentation, ""primary family"" will be used as shorthand for ""primary family only"", or the householder and his/her immediate family: that is, the primary family less any subfamily units. In addition to the primary family, a household can also contain subfamily units related to the primary family (related subfamily, or subfamily units that are extended family to the householder), as well as unrelated subfamily units, which are immediate family units with no relation to the householder. Additionally, the household can contain individuals who are not part of any family/subfamily unit, such as guests, boarders, or individual resident employees (i.e. those not living with the resident employee's family). Finally, the householder can also be someone without any relatives in the household, and so is not part of any family unit. More details on the family composition of households and the official CPS definitions can be found in the description for FTYPE. 

For the purposes of FAMREL, each subfamily (including the ""primary family only"" subfamily) has a reference person. Thus the ""reference person"" for FAMREL can be in the primary family or any other subfamily unit. (Note that in some CPS documentation the term ""reference person"" refers to the householder only; FAMREL, which is based on the CPS variable PRFAMREL/A-FAMREL, uses the term slightly differently). 

Note that since FAMREL gives the relationship to the subfamily unit, which may not be the entire household, the relationship given by FAMREL is not necessarily the same as the individual's relationship to the householder (RELATE). Thus, for example, a grandchild of the household head could be the reference person of a related subfamily. Additionally, since FAMUNIT is IPUMS-derived and also does not identify related subfamilies, the family identified by FAMUNIT will be different from the subfamily unit that FAMREL refers to. 

Since FAMREL identifies the way in which the individual is related to the subfamily unit, for most years a child (FAMREL=3) can be of any age, and if under 18 can be or have been married. ""Not a family member"" refers to nonfamily householders or individuals unrelated to any subfamily units in the family (secondary individuals).","{0: 'Not a family member', 1: 'Reference person', 2: 'Spouse', 3: 'Child', 4: 'Other relative (primary family only)', 9: 'Missing'}",1
PEPAR1TYP,First parent's relationship to child (self-reported),discrete,"PEPAR1TYP is a variable that indicates whether the respondent's first parent is a biological, step, or adoptive parent. The first parent is always the mother when the mother is present and will be male when parents are same sex. The first parent's line number is reported in PELNPAR1.

In the 2019 ASEC, the family relationship variables were revamped to improve measurement of same sex families and nontraditional family structures. As part of this restructuring, variables regarding mothers and fathers transitioned to parent 1 and parent 2. This improvement was extended to the Basic Monthly Surveys in January of 2020.","{0: 'No first parent present', 1: 'Biological', 2: 'Step', 3: 'Adopted'}",1
PEPAR2TYP,Second parent's relationship to child (self-reported),discrete,"PEPAR2TYP is a variable that indicates whether the respondent's second parent is a biological, step, or adoptive parent. The second parent is always the father when the father is present and will be female when parents are same sex. The second parent's line number is reported in PELNPAR2.

In the 2019 ASEC, the family relationship variables were revamped to improve measurement of same sex families and nontraditional family structures. As part of this restructuring, variables regarding mothers and fathers transitioned to parent 1 and parent 2. This improvement was extended to the Basic Monthly Surveys in January of 2020.","{0: 'No second parent present', 1: 'Biological', 2: 'Step', 3: 'Adopted'}",1
